Original_ID,Gene_ID,New_ID,Family
AH015104-RA,AH015104-RA,AhypMYB073,MYB
AH015143-RA,AH015143-RA,AhypMYB074,MYB
AH015144-RA,AH015144-RA,AhypMYB075,MYB
AH015778-RA,AH015778-RA,AhypMYB076,MYB
AH015794-RA,AH015794-RA,AhypMYB077,MYB
AH015907-RA,AH015907-RA,AhypMYB078,MYB
AH015990-RA,AH015990-RA,AhypMYB079,MYB
AH016393-RA,AH016393-RA,AhypMYB080,MYB
AH016406-RA,AH016406-RA,AhypMYB081,MYB
AH016480-RA,AH016480-RA,AhypMYB082,MYB
AH016589-RA,AH016589-RA,AhypMYB083,MYB
AH016655-RA,AH016655-RA,AhypMYB084,MYB
AH016987-RA,AH016987-RA,AhypMYB085,MYB
AH017255-RA,AH017255-RA,AhypMYB086,MYB
AH017583-RA,AH017583-RA,AhypMYB087,MYB
AH017708-RA,AH017708-RA,AhypMYB088,MYB
AH017938-RA,AH017938-RA,AhypMYB089,MYB
AH017970-RA,AH017970-RA,AhypMYB090,MYB
AH018003-RA,AH018003-RA,AhypMYB091,MYB
AH018215-RA,AH018215-RA,AhypMYB092,MYB
AH018298-RA,AH018298-RA,AhypMYB093,MYB
AH018305-RA,AH018305-RA,AhypMYB094,MYB
AH018530-RA,AH018530-RA,AhypMYB095,MYB
AH018666-RA,AH018666-RA,AhypMYB096,MYB
AH019070-RA,AH019070-RA,AhypMYB097,MYB
AH019074-RA,AH019074-RA,AhypMYB098,MYB
AH019076-RA,AH019076-RA,AhypMYB099,MYB
AH019077-RA,AH019077-RA,AhypMYB100,MYB
AH019117-RA,AH019117-RA,AhypMYB101,MYB
AH019287-RA,AH019287-RA,AhypMYB102,MYB
AH019365-RA,AH019365-RA,AhypMYB103,MYB
AH019643-RA,AH019643-RA,AhypMYB104,MYB
AH020212-RA,AH020212-RA,AhypMYB105,MYB
AH020330-RA,AH020330-RA,AhypMYB106,MYB
AH020336-RA,AH020336-RA,AhypMYB107,MYB
AH020521-RA,AH020521-RA,AhypMYB108,MYB
AH020542-RA,AH020542-RA,AhypMYB109,MYB
AH020572-RA,AH020572-RA,AhypMYB110,MYB
AH020988-RA,AH020988-RA,AhypMYB111,MYB
AH021035-RA,AH021035-RA,AhypMYB112,MYB
AH021155-RA,AH021155-RA,AhypMYB113,MYB
AH021584-RA,AH021584-RA,AhypMYB114,MYB
AH021613-RA,AH021613-RA,AhypMYB115,MYB
AH021935-RA,AH021935-RA,AhypMYB116,MYB
AH021957-RA,AH021957-RA,AhypMYB117,MYB
AH022001-RA,AH022001-RA,AhypMYB118,MYB
AH022468-RA,AH022468-RA,AhypMYB119,MYB
AH022519-RA,AH022519-RA,AhypMYB120,MYB
AH022551-RA,AH022551-RA,AhypMYB121,MYB
AH022780-RA,AH022780-RA,AhypMYB122,MYB
AH022904-RA,AH022904-RA,AhypMYB123,MYB
AH022966-RA,AH022966-RA,AhypMYB124,MYB
AH023023-RA,AH023023-RA,AhypMYB125,MYB
AH023048-RA,AH023048-RA,AhypMYB126,MYB
AH023115-RA,AH023115-RA,AhypMYB127,MYB
AH023316-RA,AH023316-RA,AhypMYB128,MYB
AH000003-RA,AH000003-RA,AhypNAC01,NAC
AH000261-RA,AH000261-RA,AhypNAC02,NAC
AH000746-RA,AH000746-RA,AhypNAC03,NAC
AH000846-RA,AH000846-RA,AhypNAC04,NAC
AH001077-RA,AH001077-RA,AhypNAC05,NAC
AH001281-RA,AH001281-RA,AhypNAC06,NAC
AH001384-RA,AH001384-RA,AhypNAC07,NAC
AH002239-RA,AH002239-RA,AhypNAC08,NAC
AH002344-RA,AH002344-RA,AhypNAC09,NAC
AH002840-RA,AH002840-RA,AhypNAC10,NAC
AH002860-RA,AH002860-RA,AhypNAC11,NAC
AH003216-RA,AH003216-RA,AhypNAC12,NAC
AH004236-RA,AH004236-RA,AhypNAC13,NAC
AH004356-RA,AH004356-RA,AhypNAC14,NAC
AH004573-RA,AH004573-RA,AhypNAC15,NAC
AH005032-RA,AH005032-RA,AhypNAC16,NAC
AH005066-RA,AH005066-RA,AhypNAC17,NAC
AH005222-RA,AH005222-RA,AhypNAC18,NAC
AH005265-RA,AH005265-RA,AhypNAC19,NAC
AH005423-RA,AH005423-RA,AhypNAC20,NAC
AH006071-RA,AH006071-RA,AhypNAC21,NAC
AH006230-RA,AH006230-RA,AhypNAC22,NAC
AH006231-RA,AH006231-RA,AhypNAC23,NAC
AH006232-RA,AH006232-RA,AhypNAC24,NAC
AH007051-RA,AH007051-RA,AhypNAC25,NAC
AH007342-RA,AH007342-RA,AhypNAC26,NAC
AH007854-RA,AH007854-RA,AhypNAC27,NAC
AH007856-RA,AH007856-RA,AhypNAC28,NAC
AH007909-RA,AH007909-RA,AhypNAC29,NAC
AH008045-RA,AH008045-RA,AhypNAC30,NAC
AH008046-RA,AH008046-RA,AhypNAC31,NAC
AH008092-RA,AH008092-RA,AhypNAC32,NAC
AH008419-RA,AH008419-RA,AhypNAC33,NAC
AH008488-RA,AH008488-RA,AhypNAC34,NAC
AH009185-RA,AH009185-RA,AhypNAC35,NAC
AH009400-RA,AH009400-RA,AhypNAC36,NAC
AH009474-RA,AH009474-RA,AhypNAC37,NAC
AH009495-RA,AH009495-RA,AhypNAC38,NAC
AH010008-RA,AH010008-RA,AhypNAC39,NAC
AH010009-RA,AH010009-RA,AhypNAC40,NAC
AH010270-RA,AH010270-RA,AhypNAC41,NAC
AH010413-RA,AH010413-RA,AhypNAC42,NAC
AH010633-RA,AH010633-RA,AhypNAC43,NAC
AH010717-RA,AH010717-RA,AhypNAC44,NAC
AH010990-RA,AH010990-RA,AhypNAC45,NAC
AH011364-RA,AH011364-RA,AhypNAC46,NAC
AH011875-RA,AH011875-RA,AhypNAC47,NAC
AH012180-RA,AH012180-RA,AhypNAC48,NAC
AH012226-RA,AH012226-RA,AhypNAC49,NAC
AH012584-RA,AH012584-RA,AhypNAC50,NAC
AH013896-RA,AH013896-RA,AhypNAC51,NAC
AH014445-RA,AH014445-RA,AhypNAC52,NAC
AH014651-RA,AH014651-RA,AhypNAC53,NAC
AH015266-RA,AH015266-RA,AhypNAC54,NAC
AH015775-RA,AH015775-RA,AhypNAC55,NAC
AH015793-RA,AH015793-RA,AhypNAC56,NAC
AH016668-RA,AH016668-RA,AhypNAC57,NAC
AH017051-RA,AH017051-RA,AhypNAC58,NAC
AH017360-RA,AH017360-RA,AhypNAC59,NAC
AH017551-RA,AH017551-RA,AhypNAC60,NAC
AH017564-RA,AH017564-RA,AhypNAC61,NAC
AH017718-RA,AH017718-RA,AhypNAC62,NAC
AH018188-RA,AH018188-RA,AhypNAC63,NAC
AH018336-RA,AH018336-RA,AhypNAC64,NAC
AH018557-RA,AH018557-RA,AhypNAC65,NAC
AH020926-RA,AH020926-RA,AhypNAC66,NAC
AH021139-RA,AH021139-RA,AhypNAC67,NAC
AH021619-RA,AH021619-RA,AhypNAC68,NAC
AH021789-RA,AH021789-RA,AhypNAC69,NAC
AH023417-RA,AH023417-RA,AhypNAC70,NAC
AH000033-RA,AH000033-RA,CNL_AH000033-RA,NLR
AH001450-RA,AH001450-RA,CNL_AH001450-RA,NLR
AH002056-RA,AH002056-RA,CNL_AH002056-RA,NLR
AH002167-RA,AH002167-RA,CNL_AH002167-RA,NLR
AH003350-RA,AH003350-RA,CNL_AH003350-RA,NLR
AH003387-RA,AH003387-RA,CN_AH003387-RA,NLR
AH003495-RA,AH003495-RA,CN_AH003495-RA,NLR
AH003497-RA,AH003497-RA,CN_AH003497-RA,NLR
AH003498-RA,AH003498-RA,CNL_AH003498-RA,NLR
AH004114-RA,AH004114-RA,NL_AH004114-RA,NLR
AH004271-RA,AH004271-RA,CNL_AH004271-RA,NLR
AH004272-RA,AH004272-RA,CNL_AH004272-RA,NLR
AH004519-RA,AH004519-RA,CNL_AH004519-RA,NLR
AH004705-RA,AH004705-RA,TNL_AH004705-RA,NLR
AH005985-RA,AH005985-RA,CN_AH005985-RA,NLR
AH006141-RA,AH006141-RA,NL_AH006141-RA,NLR
AH006368-RA,AH006368-RA,CNL_AH006368-RA,NLR
AH006369-RA,AH006369-RA,CN_AH006369-RA,NLR
AH006373-RA,AH006373-RA,CNL_AH006373-RA,NLR
AH006375-RA,AH006375-RA,N_AH006375-RA,NLR
AH006606-RA,AH006606-RA,CNL_AH006606-RA,NLR
AH006614-RA,AH006614-RA,NL_AH006614-RA,NLR
AH006615-RA,AH006615-RA,NL_AH006615-RA,NLR
AH006618-RA,AH006618-RA,CNL_AH006618-RA,NLR
AH006842-RA,AH006842-RA,NL_AH006842-RA,NLR
AH008122-RA,AH008122-RA,CN_AH008122-RA,NLR
AH008125-RA,AH008125-RA,CN_AH008125-RA,NLR
AH008192-RA,AH008192-RA,CNL_AH008192-RA,NLR
AH009429-RA,AH009429-RA,NL_AH009429-RA,NLR
AH009755-RA,AH009755-RA,CNL_AH009755-RA,NLR
AH009756-RA,AH009756-RA,CNL_AH009756-RA,NLR
AH009758-RA,AH009758-RA,CN_AH009758-RA,NLR
AH009759-RA,AH009759-RA,NL_AH009759-RA,NLR
AH009828-RA,AH009828-RA,NL_AH009828-RA,NLR
AH009834-RA,AH009834-RA,NL_AH009834-RA,NLR
AH009842-RA,AH009842-RA,N_AH009842-RA,NLR
AH009843-RA,AH009843-RA,NL_AH009843-RA,NLR
AH009847-RA,AH009847-RA,CNL_AH009847-RA,NLR
AH009848-RA,AH009848-RA,CN_AH009848-RA,NLR
AH009849-RA,AH009849-RA,CNL_AH009849-RA,NLR
AH009997-RA,AH009997-RA,CNL_AH009997-RA,NLR
AH010002-RA,AH010002-RA,CN_AH010002-RA,NLR
AH010091-RA,AH010091-RA,CNL_AH010091-RA,NLR
AH010573-RA,AH010573-RA,CN_AH010573-RA,NLR
AH011686-RA,AH011686-RA,N_AH011686-RA,NLR
AH011899-RA,AH011899-RA,CNL_AH011899-RA,NLR
AH011939-RA,AH011939-RA,NL_AH011939-RA,NLR
AH011940-RA,AH011940-RA,CNL_AH011940-RA,NLR
AH012204-RA,AH012204-RA,CNL_AH012204-RA,NLR
AH012242-RA,AH012242-RA,CNL_AH012242-RA,NLR
AH012260-RA,AH012260-RA,CNL_AH012260-RA,NLR
AH012266-RA,AH012266-RA,CNL_AH012266-RA,NLR
AH012274-RA,AH012274-RA,NL_AH012274-RA,NLR
AH012293-RA,AH012293-RA,N_AH012293-RA,NLR
AH012295-RA,AH012295-RA,CNL_AH012295-RA,NLR
AH013356-RA,AH013356-RA,NL_AH013356-RA,NLR
AH013357-RA,AH013357-RA,NL_AH013357-RA,NLR
AH013470-RA,AH013470-RA,CN_AH013470-RA,NLR
AH014099-RA,AH014099-RA,N_AH014099-RA,NLR
AH014844-RA,AH014844-RA,CNL_AH014844-RA,NLR
AH014846-RA,AH014846-RA,CNL_AH014846-RA,NLR
AH015008-RA,AH015008-RA,NL_AH015008-RA,NLR
AH016085-RA,AH016085-RA,CNL_AH016085-RA,NLR
AH016086-RA,AH016086-RA,NL_AH016086-RA,NLR
AH016561-RA,AH016561-RA,CN_AH016561-RA,NLR
AH017033-RA,AH017033-RA,CNL_AH017033-RA,NLR
AH017052-RA,AH017052-RA,CNL_AH017052-RA,NLR
AH017313-RA,AH017313-RA,NL_AH017313-RA,NLR
AH017374-RA,AH017374-RA,NL_AH017374-RA,NLR
AH017537-RA,AH017537-RA,CNL_AH017537-RA,NLR
AH017807-RA,AH017807-RA,CNL_AH017807-RA,NLR
AH018022-RA,AH018022-RA,N_AH018022-RA,NLR
AH018519-RA,AH018519-RA,CNL_AH018519-RA,NLR
AH019171-RA,AH019171-RA,NL_AH019171-RA,NLR
AH019194-RA,AH019194-RA,NL_AH019194-RA,NLR
AH019197-RA,AH019197-RA,NL_AH019197-RA,NLR
AH019198-RA,AH019198-RA,CNL_AH019198-RA,NLR
AH019238-RA,AH019238-RA,CNL_AH019238-RA,NLR
AH019582-RA,AH019582-RA,CN_AH019582-RA,NLR
AH020116-RA,AH020116-RA,N_AH020116-RA,NLR
AH020119-RA,AH020119-RA,N_AH020119-RA,NLR
AH020261-RA,AH020261-RA,N_AH020261-RA,NLR
AH020264-RA,AH020264-RA,N_AH020264-RA,NLR
AH020266-RA,AH020266-RA,CN_AH020266-RA,NLR
AH020268-RA,AH020268-RA,NL_AH020268-RA,NLR
AH020307-RA,AH020307-RA,N_AH020307-RA,NLR
AH020611-RA,AH020611-RA,CNL_AH020611-RA,NLR
AH020612-RA,AH020612-RA,CN_AH020612-RA,NLR
AH020614-RA,AH020614-RA,CNL_AH020614-RA,NLR
AH021370-RA,AH021370-RA,CN_AH021370-RA,NLR
AH022264-RA,AH022264-RA,N_AH022264-RA,NLR
AH022266-RA,AH022266-RA,NL_AH022266-RA,NLR
AH022267-RA,AH022267-RA,N_AH022267-RA,NLR
AH022268-RA,AH022268-RA,N_AH022268-RA,NLR
AH022269-RA,AH022269-RA,CN_AH022269-RA,NLR
AH022270-RA,AH022270-RA,N_AH022270-RA,NLR
AH022271-RA,AH022271-RA,N_AH022271-RA,NLR
AH022272-RA,AH022272-RA,N_AH022272-RA,NLR
AH022274-RA,AH022274-RA,N_AH022274-RA,NLR
AH022276-RA,AH022276-RA,N_AH022276-RA,NLR
AH022277-RA,AH022277-RA,CN_AH022277-RA,NLR
AH022278-RA,AH022278-RA,CN_AH022278-RA,NLR
AH022279-RA,AH022279-RA,N_AH022279-RA,NLR
AH022281-RA,AH022281-RA,N_AH022281-RA,NLR
AH022283-RA,AH022283-RA,CN_AH022283-RA,NLR
AH022284-RA,AH022284-RA,NL_AH022284-RA,NLR
AH022464-RA,AH022464-RA,NL_AH022464-RA,NLR
AH022544-RA,AH022544-RA,CNL_AH022544-RA,NLR
AH023357-RA,AH023357-RA,CNL_AH023357-RA,NLR
AH023358-RA,AH023358-RA,CNL_AH023358-RA,NLR
AH023362-RA,AH023362-RA,CNL_AH023362-RA,NLR
AH023363-RA,AH023363-RA,CNL_AH023363-RA,NLR
