Gene_ID,Family,Original_ID,NAC_binding_site,MYB_binding_site,W_box_Immune,ABRE_Drought
AhypMYB102,MYB,AH019287-RA,7,4,1,1
AhypNAC63,NAC,AH018188-RA,10,5,4,0
AhypMYB097,MYB,AH019070-RA,10,4,2,1
AhypMYB099,MYB,AH019076-RA,7,5,1,1
NL_AH019197-RA,NLR,AH019197-RA,9,4,1,2
CNL_AH018519-RA,NLR,AH018519-RA,12,3,1,1
AhypMYB094,MYB,AH018305-RA,14,1,0,4
AhypMYB096,MYB,AH018666-RA,7,5,4,0
NL_AH019194-RA,NLR,AH019194-RA,8,1,1,2
NL_AH019171-RA,NLR,AH019171-RA,14,6,1,1
CNL_AH019198-RA,NLR,AH019198-RA,9,3,2,0
CN_AH019582-RA,NLR,AH019582-RA,9,3,5,0
AhypMYB105,MYB,AH020212-RA,4,0,1,1
AhypMYB108,MYB,AH020521-RA,12,2,5,0
N_AH020116-RA,NLR,AH020116-RA,7,2,4,0
CN_AH020266-RA,NLR,AH020266-RA,15,4,3,2
N_AH020119-RA,NLR,AH020119-RA,2,4,2,1
AhypMYB106,MYB,AH020330-RA,6,5,2,0
AhypMYB107,MYB,AH020336-RA,6,2,1,0
N_AH020264-RA,NLR,AH020264-RA,7,3,2,1
N_AH020307-RA,NLR,AH020307-RA,10,2,1,1
AhypMYB110,MYB,AH020572-RA,5,4,0,0
AhypMYB104,MYB,AH019643-RA,6,4,4,1
N_AH020261-RA,NLR,AH020261-RA,3,5,2,0
NL_AH020268-RA,NLR,AH020268-RA,9,3,1,0
AhypMYB109,MYB,AH020542-RA,4,5,4,0
AhypMYB111,MYB,AH020988-RA,11,4,1,2
CN_AH021370-RA,NLR,AH021370-RA,3,7,1,1
AhypMYB112,MYB,AH021035-RA,9,1,1,1
AhypNAC68,NAC,AH021619-RA,11,2,1,1
CNL_AH020614-RA,NLR,AH020614-RA,13,3,1,0
AhypNAC67,NAC,AH021139-RA,8,0,3,1
AhypMYB114,MYB,AH021584-RA,7,3,5,1
AhypMYB113,MYB,AH021155-RA,13,5,4,2
AhypMYB115,MYB,AH021613-RA,6,5,3,0
CNL_AH020611-RA,NLR,AH020611-RA,2,4,1,0
AhypNAC66,NAC,AH020926-RA,6,1,0,0
CN_AH020612-RA,NLR,AH020612-RA,14,6,0,2
N_AH022274-RA,NLR,AH022274-RA,7,5,4,0
NL_AH022266-RA,NLR,AH022266-RA,9,8,3,1
AhypMYB119,MYB,AH022468-RA,8,3,1,0
AhypMYB117,MYB,AH021957-RA,9,6,1,1
CN_AH022283-RA,NLR,AH022283-RA,5,3,1,0
N_AH022281-RA,NLR,AH022281-RA,4,2,1,0
NL_AH022284-RA,NLR,AH022284-RA,4,5,2,0
N_AH022267-RA,NLR,AH022267-RA,10,4,2,2
AhypMYB121,MYB,AH022551-RA,19,6,2,4
AhypNAC69,NAC,AH021789-RA,12,4,2,3
CN_AH022277-RA,NLR,AH022277-RA,8,2,1,1
N_AH022264-RA,NLR,AH022264-RA,12,4,2,1
AhypMYB116,MYB,AH021935-RA,10,2,3,1
CNL_AH022544-RA,NLR,AH022544-RA,11,3,4,0
CN_AH022278-RA,NLR,AH022278-RA,9,6,3,0
NL_AH022464-RA,NLR,AH022464-RA,4,1,6,1
AhypMYB120,MYB,AH022519-RA,7,4,3,1
N_AH022270-RA,NLR,AH022270-RA,8,5,6,0
AhypMYB118,MYB,AH022001-RA,6,3,4,2
N_AH022271-RA,NLR,AH022271-RA,10,1,3,0
N_AH022268-RA,NLR,AH022268-RA,7,3,1,1
N_AH022272-RA,NLR,AH022272-RA,7,4,0,0
N_AH022276-RA,NLR,AH022276-RA,8,1,2,0
CN_AH022269-RA,NLR,AH022269-RA,9,2,3,1
N_AH022279-RA,NLR,AH022279-RA,9,3,2,0
AhypMYB125,MYB,AH023023-RA,10,6,2,0
CNL_AH023357-RA,NLR,AH023357-RA,11,4,2,0
AhypMYB126,MYB,AH023048-RA,16,4,0,5
AhypMYB124,MYB,AH022966-RA,10,4,2,0
AhypNAC70,NAC,AH023417-RA,11,4,2,1
CNL_AH023363-RA,NLR,AH023363-RA,12,3,3,3
CNL_AH023362-RA,NLR,AH023362-RA,5,3,4,0
AhypMYB128,MYB,AH023316-RA,11,2,0,0
AhypMYB122,MYB,AH022780-RA,9,6,2,0
CNL_AH023358-RA,NLR,AH023358-RA,3,2,2,0
AhypMYB127,MYB,AH023115-RA,8,7,0,2
AhypMYB123,MYB,AH022904-RA,5,3,1,0
AhypMYB003,MYB,AH001026-RA,1,0,2,0
CNL_AH001450-RA,NLR,AH001450-RA,2,2,6,0
AhypNAC06,NAC,AH001281-RA,8,5,2,3
AhypNAC02,NAC,AH000261-RA,4,7,3,1
AhypMYB006,MYB,AH001803-RA,7,6,2,1
CNL_AH002167-RA,NLR,AH002167-RA,5,3,4,0
CNL_AH002056-RA,NLR,AH002056-RA,15,3,2,2
AhypNAC04,NAC,AH000846-RA,6,2,0,1
AhypNAC09,NAC,AH002344-RA,8,2,3,0
AhypMYB002,MYB,AH000571-RA,4,3,2,0
AhypMYB004,MYB,AH001212-RA,10,4,1,0
AhypMYB005,MYB,AH001676-RA,14,5,1,2
AhypMYB007,MYB,AH001812-RA,12,3,2,0
AhypMYB001,MYB,AH000437-RA,13,1,4,0
AhypMYB008,MYB,AH002163-RA,4,2,7,1
AhypNAC03,NAC,AH000746-RA,7,9,2,0
CNL_AH000033-RA,NLR,AH000033-RA,7,4,3,0
AhypNAC07,NAC,AH001384-RA,4,0,0,0
AhypNAC01,NAC,AH000003-RA,8,1,1,1
AhypNAC05,NAC,AH001077-RA,10,6,3,0
AhypNAC08,NAC,AH002239-RA,4,3,1,0
AhypMYB016,MYB,AH003910-RA,13,8,0,1
AhypNAC11,NAC,AH002860-RA,8,2,1,1
AhypMYB011,MYB,AH002675-RA,7,7,4,1
AhypMYB013,MYB,AH002765-RA,11,6,4,1
AhypNAC15,NAC,AH004573-RA,4,2,3,0
AhypNAC13,NAC,AH004236-RA,8,5,0,0
AhypMYB015,MYB,AH003825-RA,11,5,1,0
AhypMYB012,MYB,AH002727-RA,12,2,1,1
CNL_AH003498-RA,NLR,AH003498-RA,4,5,6,0
CNL_AH004271-RA,NLR,AH004271-RA,4,3,5,0
AhypNAC12,NAC,AH003216-RA,4,5,2,1
CN_AH003387-RA,NLR,AH003387-RA,7,4,1,0
CN_AH003495-RA,NLR,AH003495-RA,8,2,5,2
CNL_AH004519-RA,NLR,AH004519-RA,11,1,3,0
CN_AH003497-RA,NLR,AH003497-RA,9,3,5,1
AhypMYB017,MYB,AH004597-RA,6,2,5,0
AhypMYB014,MYB,AH002820-RA,4,1,1,0
CNL_AH004272-RA,NLR,AH004272-RA,7,3,0,1
AhypNAC10,NAC,AH002840-RA,4,2,4,0
AhypMYB010,MYB,AH002654-RA,8,6,9,0
CNL_AH003350-RA,NLR,AH003350-RA,6,6,2,0
AhypMYB018,MYB,AH004643-RA,9,5,2,1
AhypMYB009,MYB,AH002516-RA,5,5,1,0
NL_AH004114-RA,NLR,AH004114-RA,2,3,8,0
AhypNAC14,NAC,AH004356-RA,2,1,4,0
AhypNAC23,NAC,AH006231-RA,13,1,3,4
AhypMYB021,MYB,AH005463-RA,5,5,0,0
AhypNAC21,NAC,AH006071-RA,8,3,7,0
CN_AH006369-RA,NLR,AH006369-RA,13,4,1,3
AhypMYB022,MYB,AH005754-RA,7,7,1,0
AhypMYB019,MYB,AH005041-RA,5,2,2,1
AhypMYB020,MYB,AH005091-RA,6,6,2,0
NL_AH006141-RA,NLR,AH006141-RA,7,0,2,1
AhypMYB024,MYB,AH006161-RA,7,4,2,2
AhypMYB023,MYB,AH005903-RA,5,11,3,2
AhypNAC19,NAC,AH005265-RA,3,0,2,0
CN_AH005985-RA,NLR,AH005985-RA,10,5,1,1
TNL_AH004705-RA,NLR,AH004705-RA,6,3,1,0
CNL_AH006373-RA,NLR,AH006373-RA,11,5,0,0
AhypNAC18,NAC,AH005222-RA,5,2,4,0
AhypNAC22,NAC,AH006230-RA,11,4,4,2
AhypNAC17,NAC,AH005066-RA,7,6,2,0
CNL_AH006368-RA,NLR,AH006368-RA,4,3,2,0
AhypNAC24,NAC,AH006232-RA,11,2,3,3
AhypNAC20,NAC,AH005423-RA,6,6,3,1
AhypNAC16,NAC,AH005032-RA,7,5,3,2
N_AH006375-RA,NLR,AH006375-RA,3,4,2,0
CN_AH008122-RA,NLR,AH008122-RA,12,2,1,1
AhypMYB025,MYB,AH006536-RA,5,3,4,0
AhypMYB034,MYB,AH007850-RA,14,1,2,2
CNL_AH006606-RA,NLR,AH006606-RA,2,0,2,1
AhypNAC29,NAC,AH007909-RA,8,7,1,0
AhypMYB029,MYB,AH007017-RA,6,4,4,0
AhypNAC26,NAC,AH007342-RA,10,6,2,0
AhypNAC30,NAC,AH008045-RA,3,2,0,0
NL_AH006614-RA,NLR,AH006614-RA,7,3,3,0
AhypNAC31,NAC,AH008046-RA,6,2,2,1
AhypMYB031,MYB,AH007496-RA,8,2,3,0
AhypNAC28,NAC,AH007856-RA,10,5,2,1
AhypMYB035,MYB,AH007879-RA,7,2,0,1
AhypMYB027,MYB,AH006797-RA,6,4,0,0
AhypMYB030,MYB,AH007459-RA,11,2,2,2
AhypNAC32,NAC,AH008092-RA,13,3,1,2
AhypMYB028,MYB,AH006835-RA,6,0,0,0
AhypMYB032,MYB,AH007563-RA,5,6,0,0
AhypMYB026,MYB,AH006564-RA,6,6,1,1
NL_AH006842-RA,NLR,AH006842-RA,10,6,3,0
AhypNAC27,NAC,AH007854-RA,6,4,0,1
AhypNAC25,NAC,AH007051-RA,9,3,2,0
CNL_AH008192-RA,NLR,AH008192-RA,9,2,1,1
NL_AH006615-RA,NLR,AH006615-RA,6,3,1,0
AhypMYB033,MYB,AH007777-RA,9,1,2,1
AhypMYB036,MYB,AH008213-RA,8,1,2,1
CNL_AH006618-RA,NLR,AH006618-RA,3,5,4,0
CN_AH008125-RA,NLR,AH008125-RA,12,2,0,2
AhypNAC33,NAC,AH008419-RA,10,3,4,2
AhypMYB045,MYB,AH009641-RA,9,1,1,0
NL_AH009429-RA,NLR,AH009429-RA,5,1,1,0
AhypMYB039,MYB,AH008669-RA,3,2,0,0
AhypMYB038,MYB,AH008409-RA,11,1,0,1
AhypNAC37,NAC,AH009474-RA,7,2,2,0
AhypMYB037,MYB,AH008358-RA,4,1,0,0
AhypMYB042,MYB,AH009451-RA,9,3,2,1
AhypNAC38,NAC,AH009495-RA,0,2,4,0
AhypMYB043,MYB,AH009477-RA,12,4,2,0
AhypNAC34,NAC,AH008488-RA,13,4,5,1
AhypMYB044,MYB,AH009534-RA,7,4,1,1
AhypNAC36,NAC,AH009400-RA,10,1,0,0
AhypMYB040,MYB,AH009253-RA,4,1,3,0
AhypNAC35,NAC,AH009185-RA,12,3,2,1
AhypMYB041,MYB,AH009423-RA,14,3,3,3
AhypMYB051,MYB,AH010708-RA,10,2,2,3
CNL_AH009997-RA,NLR,AH009997-RA,6,2,5,1
AhypNAC44,NAC,AH010717-RA,6,4,4,0
NL_AH009843-RA,NLR,AH009843-RA,7,2,2,0
CN_AH010573-RA,NLR,AH010573-RA,7,2,4,0
NL_AH009834-RA,NLR,AH009834-RA,12,6,1,0
AhypMYB056,MYB,AH011132-RA,7,5,2,0
CN_AH009848-RA,NLR,AH009848-RA,2,7,1,0
AhypMYB052,MYB,AH010904-RA,6,1,0,0
CNL_AH010091-RA,NLR,AH010091-RA,14,2,3,0
AhypNAC39,NAC,AH010008-RA,8,8,2,1
CNL_AH009849-RA,NLR,AH009849-RA,9,3,1,0
AhypNAC42,NAC,AH010413-RA,12,2,2,3
N_AH009842-RA,NLR,AH009842-RA,6,13,2,0
AhypMYB048,MYB,AH010247-RA,4,4,1,0
AhypNAC40,NAC,AH010009-RA,16,3,2,5
AhypNAC45,NAC,AH010990-RA,7,3,2,1
AhypMYB053,MYB,AH011004-RA,11,1,5,1
AhypNAC41,NAC,AH010270-RA,13,2,0,1
AhypNAC43,NAC,AH010633-RA,12,1,3,0
AhypMYB046,MYB,AH010245-RA,3,3,2,0
AhypMYB050,MYB,AH010625-RA,15,4,2,2
NL_AH009828-RA,NLR,AH009828-RA,5,6,1,0
CN_AH010002-RA,NLR,AH010002-RA,16,5,4,2
CN_AH009758-RA,NLR,AH009758-RA,6,2,2,0
AhypMYB054,MYB,AH011097-RA,12,3,1,0
AhypMYB047,MYB,AH010246-RA,5,3,1,0
CNL_AH009756-RA,NLR,AH009756-RA,6,1,2,0
CNL_AH009755-RA,NLR,AH009755-RA,10,1,2,1
AhypMYB055,MYB,AH011098-RA,3,1,1,0
NL_AH009759-RA,NLR,AH009759-RA,11,2,1,0
AhypMYB049,MYB,AH010249-RA,8,6,3,3
CNL_AH009847-RA,NLR,AH009847-RA,10,3,1,1
CNL_AH012295-RA,NLR,AH012295-RA,6,2,3,1
AhypNAC46,NAC,AH011364-RA,8,1,1,1
CNL_AH012204-RA,NLR,AH012204-RA,6,1,3,0
CNL_AH011940-RA,NLR,AH011940-RA,33,2,1,2
N_AH011686-RA,NLR,AH011686-RA,20,6,0,4
AhypNAC47,NAC,AH011875-RA,15,2,1,0
N_AH012293-RA,NLR,AH012293-RA,7,5,1,2
AhypNAC49,NAC,AH012226-RA,5,6,1,0
CNL_AH011899-RA,NLR,AH011899-RA,6,5,4,0
AhypMYB059,MYB,AH012097-RA,7,1,3,1
CNL_AH012266-RA,NLR,AH012266-RA,9,1,3,0
AhypMYB058,MYB,AH011877-RA,11,1,5,0
NL_AH012274-RA,NLR,AH012274-RA,6,6,3,0
CNL_AH012242-RA,NLR,AH012242-RA,13,7,2,0
CNL_AH012260-RA,NLR,AH012260-RA,13,2,0,1
AhypNAC48,NAC,AH012180-RA,8,6,2,1
AhypMYB060,MYB,AH012382-RA,7,3,1,1
AhypMYB057,MYB,AH011817-RA,9,2,0,0
NL_AH011939-RA,NLR,AH011939-RA,8,4,0,0
AhypNAC50,NAC,AH012584-RA,6,2,4,1
AhypMYB066,MYB,AH013791-RA,3,3,4,0
AhypMYB061,MYB,AH012748-RA,9,3,2,1
AhypMYB063,MYB,AH013332-RA,7,4,3,1
AhypMYB064,MYB,AH013365-RA,6,3,1,1
AhypMYB065,MYB,AH013777-RA,4,3,0,1
NL_AH013357-RA,NLR,AH013357-RA,8,1,3,1
NL_AH013356-RA,NLR,AH013356-RA,9,3,2,0
CN_AH013470-RA,NLR,AH013470-RA,5,5,1,0
AhypMYB062,MYB,AH013140-RA,6,4,1,0
AhypNAC51,NAC,AH013896-RA,6,2,2,1
NL_AH015008-RA,NLR,AH015008-RA,12,5,1,0
AhypMYB072,MYB,AH014879-RA,12,3,1,1
CNL_AH014846-RA,NLR,AH014846-RA,11,1,3,1
AhypMYB073,MYB,AH015104-RA,14,3,2,0
AhypMYB069,MYB,AH014386-RA,8,2,1,0
AhypMYB071,MYB,AH014735-RA,8,2,1,0
AhypNAC54,NAC,AH015266-RA,9,5,5,0
AhypMYB067,MYB,AH014208-RA,5,4,2,0
AhypMYB074,MYB,AH015143-RA,11,4,2,1
AhypMYB068,MYB,AH014245-RA,12,2,7,1
AhypMYB075,MYB,AH015144-RA,8,6,4,1
AhypMYB070,MYB,AH014566-RA,7,6,1,0
N_AH014099-RA,NLR,AH014099-RA,8,6,1,0
CNL_AH014844-RA,NLR,AH014844-RA,10,1,2,1
AhypNAC53,NAC,AH014651-RA,9,4,0,0
AhypNAC52,NAC,AH014445-RA,3,4,1,0
