Gene_ID,Family,Module_ID,Module_Name,kME_Hub_Score
CNL_AH001450-RA,NLR,1,Turquoise (Drought/Abiotic),0.332
AhypNAC06,NAC,1,Turquoise (Drought/Abiotic),0.3263
N_AH020261-RA,NLR,1,Turquoise (Drought/Abiotic),0.3249
AhypMYB043,MYB,1,Turquoise (Drought/Abiotic),0.324
CNL_AH017033-RA,NLR,1,Turquoise (Drought/Abiotic),0.3232
AhypMYB027,MYB,1,Turquoise (Drought/Abiotic),0.3176
AhypMYB014,MYB,1,Turquoise (Drought/Abiotic),0.3171
CNL_AH012260-RA,NLR,1,Turquoise (Drought/Abiotic),0.3132
CN_AH020612-RA,NLR,1,Turquoise (Drought/Abiotic),0.3116
AhypNAC63,NAC,1,Turquoise (Drought/Abiotic),0.3111
AhypMYB012,MYB,1,Turquoise (Drought/Abiotic),0.304
N_AH022267-RA,NLR,1,Turquoise (Drought/Abiotic),0.3036
AhypMYB125,MYB,1,Turquoise (Drought/Abiotic),0.3027
N_AH022279-RA,NLR,1,Turquoise (Drought/Abiotic),0.2934
AhypNAC35,NAC,1,Turquoise (Drought/Abiotic),0.2874
AhypMYB051,MYB,2,Blue (Bacterial/Biotic),0.5459
AhypMYB067,MYB,2,Blue (Bacterial/Biotic),0.5102
AhypNAC55,NAC,2,Blue (Bacterial/Biotic),0.509
AhypNAC50,NAC,2,Blue (Bacterial/Biotic),0.5064
AhypNAC58,NAC,2,Blue (Bacterial/Biotic),0.505
AhypNAC11,NAC,2,Blue (Bacterial/Biotic),0.5012
AhypNAC05,NAC,2,Blue (Bacterial/Biotic),0.4952
AhypNAC60,NAC,2,Blue (Bacterial/Biotic),0.4924
AhypMYB087,MYB,2,Blue (Bacterial/Biotic),0.488
AhypNAC19,NAC,2,Blue (Bacterial/Biotic),0.4776
CNL_AH011899-RA,NLR,2,Blue (Bacterial/Biotic),0.4773
AhypMYB011,MYB,2,Blue (Bacterial/Biotic),0.475
AhypNAC69,NAC,2,Blue (Bacterial/Biotic),0.4723
AhypMYB003,MYB,2,Blue (Bacterial/Biotic),0.4693
AhypNAC36,NAC,2,Blue (Bacterial/Biotic),0.4686
CNL_AH019238-RA,NLR,2,Blue (Bacterial/Biotic),0.4605
N_AH022274-RA,NLR,2,Blue (Bacterial/Biotic),0.4563
AhypMYB070,MYB,2,Blue (Bacterial/Biotic),0.4549
CNL_AH000033-RA,NLR,2,Blue (Bacterial/Biotic),0.4511
N_AH014099-RA,NLR,2,Blue (Bacterial/Biotic),0.4431
AhypMYB108,MYB,2,Blue (Bacterial/Biotic),0.4428
AhypNAC62,NAC,2,Blue (Bacterial/Biotic),0.4366
CNL_AH006606-RA,NLR,2,Blue (Bacterial/Biotic),0.4345
AhypMYB113,MYB,2,Blue (Bacterial/Biotic),0.4341
NL_AH022284-RA,NLR,2,Blue (Bacterial/Biotic),0.4315
AhypMYB001,MYB,2,Blue (Bacterial/Biotic),0.429
AhypMYB050,MYB,2,Blue (Bacterial/Biotic),0.4266
AhypNAC48,NAC,2,Blue (Bacterial/Biotic),0.4216
AhypMYB015,MYB,2,Blue (Bacterial/Biotic),0.4207
AhypMYB109,MYB,2,Blue (Bacterial/Biotic),0.4166
AhypMYB124,MYB,2,Blue (Bacterial/Biotic),0.414
AhypMYB042,MYB,2,Blue (Bacterial/Biotic),0.4139
AhypMYB095,MYB,2,Blue (Bacterial/Biotic),0.4122
CN_AH020266-RA,NLR,2,Blue (Bacterial/Biotic),0.4117
AhypMYB040,MYB,2,Blue (Bacterial/Biotic),0.4107
NL_AH006615-RA,NLR,2,Blue (Bacterial/Biotic),0.4062
AhypMYB013,MYB,2,Blue (Bacterial/Biotic),0.4058
NL_AH015008-RA,NLR,2,Blue (Bacterial/Biotic),0.4013
AhypNAC34,NAC,2,Blue (Bacterial/Biotic),0.3953
AhypNAC33,NAC,2,Blue (Bacterial/Biotic),0.3896
AhypMYB021,MYB,2,Blue (Bacterial/Biotic),0.3865
CNL_AH003350-RA,NLR,2,Blue (Bacterial/Biotic),0.3851
N_AH018022-RA,NLR,2,Blue (Bacterial/Biotic),0.3849
CNL_AH017537-RA,NLR,2,Blue (Bacterial/Biotic),0.384
AhypMYB068,MYB,2,Blue (Bacterial/Biotic),0.3826
N_AH022264-RA,NLR,2,Blue (Bacterial/Biotic),0.3818
NL_AH011939-RA,NLR,2,Blue (Bacterial/Biotic),0.3805
CNL_AH012295-RA,NLR,2,Blue (Bacterial/Biotic),0.3804
CN_AH022283-RA,NLR,2,Blue (Bacterial/Biotic),0.3779
AhypMYB037,MYB,2,Blue (Bacterial/Biotic),0.3774
AhypNAC17,NAC,2,Blue (Bacterial/Biotic),0.3766
NL_AH017374-RA,NLR,2,Blue (Bacterial/Biotic),0.3744
N_AH022271-RA,NLR,2,Blue (Bacterial/Biotic),0.3744
AhypMYB069,MYB,2,Blue (Bacterial/Biotic),0.3728
AhypMYB019,MYB,2,Blue (Bacterial/Biotic),0.3689
CNL_AH023363-RA,NLR,2,Blue (Bacterial/Biotic),0.3669
AhypMYB052,MYB,2,Blue (Bacterial/Biotic),0.3661
AhypNAC10,NAC,2,Blue (Bacterial/Biotic),0.3641
AhypNAC51,NAC,2,Blue (Bacterial/Biotic),0.3631
TNL_AH004705-RA,NLR,2,Blue (Bacterial/Biotic),0.3623
CN_AH019582-RA,NLR,2,Blue (Bacterial/Biotic),0.3616
N_AH009842-RA,NLR,2,Blue (Bacterial/Biotic),0.3592
CN_AH005985-RA,NLR,2,Blue (Bacterial/Biotic),0.3534
AhypNAC31,NAC,2,Blue (Bacterial/Biotic),0.353
AhypMYB009,MYB,2,Blue (Bacterial/Biotic),0.352
AhypNAC02,NAC,2,Blue (Bacterial/Biotic),0.35
AhypMYB107,MYB,2,Blue (Bacterial/Biotic),0.3488
AhypMYB031,MYB,2,Blue (Bacterial/Biotic),0.3477
AhypMYB002,MYB,2,Blue (Bacterial/Biotic),0.344
CN_AH006369-RA,NLR,2,Blue (Bacterial/Biotic),0.3424
CNL_AH018519-RA,NLR,2,Blue (Bacterial/Biotic),0.3368
AhypMYB055,MYB,2,Blue (Bacterial/Biotic),0.3274
AhypMYB085,MYB,2,Blue (Bacterial/Biotic),0.3262
AhypMYB111,MYB,2,Blue (Bacterial/Biotic),0.3243
NL_AH017313-RA,NLR,2,Blue (Bacterial/Biotic),0.3228
CNL_AH009755-RA,NLR,2,Blue (Bacterial/Biotic),0.3224
AhypMYB065,MYB,2,Blue (Bacterial/Biotic),0.3213
AhypMYB059,MYB,2,Blue (Bacterial/Biotic),0.3028
AhypMYB088,MYB,2,Blue (Bacterial/Biotic),0.2971
AhypMYB086,MYB,3,Brown (Developmental/Cell Wall),0.6387
NL_AH009828-RA,NLR,3,Brown (Developmental/Cell Wall),0.5958
CNL_AH006368-RA,NLR,3,Brown (Developmental/Cell Wall),0.5844
AhypMYB123,MYB,3,Brown (Developmental/Cell Wall),0.573
AhypMYB117,MYB,3,Brown (Developmental/Cell Wall),0.5617
AhypMYB115,MYB,3,Brown (Developmental/Cell Wall),0.5582
N_AH022276-RA,NLR,3,Brown (Developmental/Cell Wall),0.5281
AhypMYB010,MYB,3,Brown (Developmental/Cell Wall),0.5272
AhypMYB029,MYB,3,Brown (Developmental/Cell Wall),0.5266
AhypMYB089,MYB,3,Brown (Developmental/Cell Wall),0.5133
NL_AH004114-RA,NLR,3,Brown (Developmental/Cell Wall),0.5125
AhypMYB066,MYB,3,Brown (Developmental/Cell Wall),0.5123
CNL_AH014844-RA,NLR,3,Brown (Developmental/Cell Wall),0.5107
N_AH022272-RA,NLR,3,Brown (Developmental/Cell Wall),0.5093
AhypMYB094,MYB,3,Brown (Developmental/Cell Wall),0.5046
AhypMYB106,MYB,3,Brown (Developmental/Cell Wall),0.4966
AhypMYB041,MYB,3,Brown (Developmental/Cell Wall),0.495
AhypMYB026,MYB,3,Brown (Developmental/Cell Wall),0.4877
AhypMYB024,MYB,3,Brown (Developmental/Cell Wall),0.4776
AhypMYB078,MYB,3,Brown (Developmental/Cell Wall),0.4768
AhypMYB006,MYB,3,Brown (Developmental/Cell Wall),0.4715
AhypMYB092,MYB,3,Brown (Developmental/Cell Wall),0.4626
CN_AH016561-RA,NLR,3,Brown (Developmental/Cell Wall),0.4558
CNL_AH017807-RA,NLR,3,Brown (Developmental/Cell Wall),0.4492
AhypMYB080,MYB,3,Brown (Developmental/Cell Wall),0.4442
AhypMYB110,MYB,3,Brown (Developmental/Cell Wall),0.4431
CN_AH010573-RA,NLR,3,Brown (Developmental/Cell Wall),0.4342
AhypMYB081,MYB,3,Brown (Developmental/Cell Wall),0.4338
N_AH020264-RA,NLR,3,Brown (Developmental/Cell Wall),0.4295
AhypMYB105,MYB,3,Brown (Developmental/Cell Wall),0.4271
NL_AH013356-RA,NLR,3,Brown (Developmental/Cell Wall),0.4085
CNL_AH023358-RA,NLR,3,Brown (Developmental/Cell Wall),0.4051
CNL_AH019198-RA,NLR,3,Brown (Developmental/Cell Wall),0.4049
AhypMYB008,MYB,3,Brown (Developmental/Cell Wall),0.4038
AhypMYB091,MYB,3,Brown (Developmental/Cell Wall),0.4036
CNL_AH006618-RA,NLR,3,Brown (Developmental/Cell Wall),0.3864
AhypMYB028,MYB,3,Brown (Developmental/Cell Wall),0.3412
AhypMYB045,MYB,3,Brown (Developmental/Cell Wall),0.3358
AhypMYB030,MYB,3,Brown (Developmental/Cell Wall),0.3294
AhypMYB097,MYB,3,Brown (Developmental/Cell Wall),0.2645
AhypMYB116,MYB,4,Yellow (Immune Recognition),0.5394
CN_AH022269-RA,NLR,4,Yellow (Immune Recognition),0.5201
CNL_AH016085-RA,NLR,4,Yellow (Immune Recognition),0.5116
AhypMYB032,MYB,4,Yellow (Immune Recognition),0.5056
CNL_AH017052-RA,NLR,4,Yellow (Immune Recognition),0.4984
CNL_AH022544-RA,NLR,4,Yellow (Immune Recognition),0.4974
CNL_AH011940-RA,NLR,4,Yellow (Immune Recognition),0.4967
NL_AH009843-RA,NLR,4,Yellow (Immune Recognition),0.4737
AhypNAC16,NAC,4,Yellow (Immune Recognition),0.4725
CNL_AH004519-RA,NLR,4,Yellow (Immune Recognition),0.4708
AhypMYB036,MYB,4,Yellow (Immune Recognition),0.4624
AhypMYB064,MYB,4,Yellow (Immune Recognition),0.4623
CNL_AH004271-RA,NLR,4,Yellow (Immune Recognition),0.4618
NL_AH019171-RA,NLR,4,Yellow (Immune Recognition),0.4594
CNL_AH008192-RA,NLR,4,Yellow (Immune Recognition),0.4572
AhypMYB075,MYB,4,Yellow (Immune Recognition),0.4563
CNL_AH002056-RA,NLR,4,Yellow (Immune Recognition),0.4525
AhypMYB104,MYB,4,Yellow (Immune Recognition),0.4488
AhypNAC61,NAC,4,Yellow (Immune Recognition),0.4469
AhypMYB127,MYB,4,Yellow (Immune Recognition),0.446
AhypMYB044,MYB,4,Yellow (Immune Recognition),0.4451
AhypMYB005,MYB,4,Yellow (Immune Recognition),0.4447
CNL_AH012204-RA,NLR,4,Yellow (Immune Recognition),0.4438
AhypMYB128,MYB,4,Yellow (Immune Recognition),0.4382
AhypMYB100,MYB,4,Yellow (Immune Recognition),0.4377
AhypMYB047,MYB,4,Yellow (Immune Recognition),0.4371
NL_AH016086-RA,NLR,4,Yellow (Immune Recognition),0.4368
AhypMYB020,MYB,4,Yellow (Immune Recognition),0.4308
CNL_AH003498-RA,NLR,4,Yellow (Immune Recognition),0.4303
AhypMYB056,MYB,4,Yellow (Immune Recognition),0.4279
N_AH020119-RA,NLR,4,Yellow (Immune Recognition),0.4254
AhypMYB119,MYB,4,Yellow (Immune Recognition),0.4247
AhypMYB057,MYB,4,Yellow (Immune Recognition),0.424
AhypMYB038,MYB,4,Yellow (Immune Recognition),0.4198
CNL_AH006373-RA,NLR,4,Yellow (Immune Recognition),0.4193
AhypMYB071,MYB,4,Yellow (Immune Recognition),0.4157
AhypMYB007,MYB,4,Yellow (Immune Recognition),0.415
NL_AH006614-RA,NLR,4,Yellow (Immune Recognition),0.4131
NL_AH019194-RA,NLR,4,Yellow (Immune Recognition),0.4125
AhypMYB102,MYB,4,Yellow (Immune Recognition),0.4105
AhypNAC56,NAC,4,Yellow (Immune Recognition),0.41
N_AH006375-RA,NLR,4,Yellow (Immune Recognition),0.4041
N_AH022270-RA,NLR,4,Yellow (Immune Recognition),0.4038
AhypMYB073,MYB,4,Yellow (Immune Recognition),0.3977
AhypNAC39,NAC,4,Yellow (Immune Recognition),0.3959
AhypNAC13,NAC,4,Yellow (Immune Recognition),0.3842
NL_AH009759-RA,NLR,4,Yellow (Immune Recognition),0.3825
CN_AH022278-RA,NLR,4,Yellow (Immune Recognition),0.3687
CNL_AH009756-RA,NLR,4,Yellow (Immune Recognition),0.3632
CN_AH008125-RA,NLR,4,Yellow (Immune Recognition),0.3577
CNL_AH020611-RA,NLR,4,Yellow (Immune Recognition),0.3512
NL_AH006141-RA,NLR,4,Yellow (Immune Recognition),0.3432
CNL_AH009847-RA,NLR,4,Yellow (Immune Recognition),0.3432
AhypMYB076,MYB,4,Yellow (Immune Recognition),0.3429
AhypMYB079,MYB,4,Yellow (Immune Recognition),0.3374
AhypNAC54,NAC,4,Yellow (Immune Recognition),0.3355
AhypNAC32,NAC,4,Yellow (Immune Recognition),0.3318
AhypMYB121,MYB,4,Yellow (Immune Recognition),0.3316
AhypMYB016,MYB,4,Yellow (Immune Recognition),0.3283
AhypNAC23,NAC,4,Yellow (Immune Recognition),0.3214
CN_AH003497-RA,NLR,4,Yellow (Immune Recognition),0.3202
AhypMYB048,MYB,4,Yellow (Immune Recognition),0.3154
AhypMYB099,MYB,4,Yellow (Immune Recognition),0.3153
AhypMYB062,MYB,4,Yellow (Immune Recognition),0.3151
NL_AH012274-RA,NLR,4,Yellow (Immune Recognition),0.2997
CNL_AH012242-RA,NLR,4,Yellow (Immune Recognition),0.2984
CNL_AH023362-RA,NLR,4,Yellow (Immune Recognition),0.2934
AhypMYB090,MYB,4,Yellow (Immune Recognition),0.2921
NL_AH019197-RA,NLR,4,Yellow (Immune Recognition),0.2905
NL_AH020268-RA,NLR,4,Yellow (Immune Recognition),0.2898
NL_AH009429-RA,NLR,4,Yellow (Immune Recognition),0.2876
